School,SRC School ID,Report,Rpt Type Long,Street Address,City,State,Zip Code,Phone Number,Fax Number,Governance,Turnaround Model,Enrollment,Website,Grades Served,Admissions Type,Peer Group,2015-16 Learning Network,2016-17 Learning Network,Notes,Overall Score,Overall Tier,Overall City Rank,Overall Peer Rank,Ach Score,Ach Tier,Ach City Rank,Ach Peer Rank,Prog Score,Prog Tier,Prog City Rank,Prog Peer Rank,Clim Score,Clim Tier,Clim City Rank,Clim Peer Rank,CC Score,CC Tier,CC City Rank,CC Peer Rank,Keystone Alg1 Prof/Adv Score,Keystone Alg1 Prof/Adv Denom,Keystone Alg1 Prof/Adv Pts Earn,Keystone Alg1 Prof/Adv Pts Poss,Keystone Alg1 Prof/Adv Pct Earn,Keystone Alg1 Prof/Adv Tier,Keystone Alg1 Adv Score,Keystone Alg1 Adv Denom,Keystone Alg1 Adv Pts Earn,Keystone Alg1 Adv Pts Poss,Keystone Alg1 Adv Pct Earn,Keystone Alg1 Adv Tier,Keystone Bio Prof/Adv Score,Keystone Bio Prof/Adv Denom,Keystone Bio Prof/Adv Pts Earn,Keystone Bio Prof/Adv Pts Poss,Keystone Bio Prof/Adv Pct Earn,Keystone Bio Prof/Adv Tier,Keystone Bio Adv Score,Keystone Bio Adv Denom,Keystone Bio Adv Pts Earn,Keystone Bio Adv Pts Poss,Keystone Bio Adv Pct Earn,Keystone Bio Adv Tier,Keystone Lit Prof/Adv Score,Keystone Lit Prof/Adv Denom,Keystone Lit Prof/Adv Pts Earn,Keystone Lit Prof/Adv Pts Poss,Keystone Lit Prof/Adv Pct Earn,Keystone Lit Prof/Adv Tier,Keystone Lit Adv Score,Keystone Lit Adv Denom,Keystone Lit Adv Pts Earn,Keystone Lit Adv Pts Poss,Keystone Lit Adv Pct Earn,Keystone Lit Adv Tier,ACCESS Prof Score,ACCESS Prof Denom,ACCESS Prof Pts Earn,ACCESS Prof Pts Poss,ACCESS Prof Pct Earn,ACCESS Prof Tier,Keystone Alg1 AGI Score,Keystone Alg1 AGI Pts Earn,Keystone Alg1 AGI Pts Poss,Keystone Alg1 AGI Pct Earn,Keystone Alg1 AGI Tier,Keystone Bio AGI Score,Keystone Bio AGI Pts Earn,Keystone Bio AGI Pts Poss,Keystone Bio AGI Pct Earn,Keystone Bio AGI Tier,Keystone Lit AGI Score,Keystone Lit AGI Pts Earn,Keystone Lit AGI Pts Poss,Keystone Lit AGI Pct Earn,Keystone Lit AGI Tier,Stay On Track Score,Stay On Track Denom,Stay On Track Pts Earn,Stay On Track Pts Poss,Stay On Track Pct Earn,Stay On Track Tier,Back On Track Score,Back On Track Denom,Back On Track Pts Earn,Back On Track Pts Poss,Back On Track Pct Earn,Back On Track Tier,ACCESS Growth Score,ACCESS Growth Denom,ACCESS Growth Pts Earn,ACCESS Growth Pts Poss,ACCESS Growth Pct Earn,ACCESS Growth Tier,Keystone Alg1 AGI (L20P) Score,Keystone Alg1 AGI (L20P) Pts Earn,Keystone Alg1 AGI (L20P) Pts Poss,Keystone Alg1 AGI (L20P) Pct Earn,Keystone Alg1 AGI (L20P) Tier,Keystone Bio AGI (L20P) Score,Keystone Bio AGI (L20P) Pts Earn,Keystone Bio AGI (L20P) Pts Poss,Keystone Bio AGI (L20P) Pct Earn,Keystone Bio AGI (L20P) Tier,Keystone Lit AGI (L20P) Score,Keystone Lit AGI (L20P) Pts Earn,Keystone Lit AGI (L20P) Pts Poss,Keystone Lit AGI (L20P) Pct Earn,Keystone Lit AGI (L20P) Tier,Attendance (95%+) Score,Attendance (95%+) Denom,Attendance (95%+) Pts Earn,Attendance (95%+) Pts Poss,Attendance (95%+) Pct Earn,Attendance (95%+) Tier,Attendance (90%-95%) Score,Attendance (90%-95%) Denom,Attendance (85%-90%) Score,Attendance (85%-90%) Denom,Attendance (80%-85%) Score,Attendance (80%-85%) Denom,Attendance (<80%) Score,Attendance (<80%) Denom,Retention Score,Retention Denom,Retention Pts Earn,Retention Pts Poss,Retention Pct Earn,Retention Tier,ISS Score,ISS Denom,ISS Pts Earn,ISS Pts Poss,ISS Pct Earn,ISS Tier,OSS Score,OSS Denom,OSS Pts Earn,OSS Pts Poss,OSS Pct Earn,OSS Tier,Student Survey Climate Score,Student Survey Climate Pts Earn,Student Survey Climate Pts Poss,Student Survey Climate Pct Earn,Student Survey Climate Tier,Parent Survey Climate Score,Parent Survey Climate Pts Earn,Parent Survey Climate Pts Poss,Parent Survey Climate Pct Earn,Parent Survey Climate Tier,Parent Survey Participation Score,Parent Survey Participation Pts Earn,Parent Survey Participation Pts Poss,Parent Survey Participation Pct Earn,Parent Survey Participation Tier,Grad Score,Grad Denom,Grad Pts Earn,Grad Pts Poss,Grad Pct Earn,Grad Tier,FF Matric Score,FF Matric Denom,FF Matric Pts Earn,FF Matric Pts Poss,FF Matric Pct Earn,FF Matric Tier,AP/IB/NOCTI Score,AP/IB/NOCTI Denom,AP/IB/NOCTI Pts Earn,AP/IB/NOCTI Pts Poss,AP/IB/NOCTI Pct Earn,AP/IB/NOCTI Tier,AP/IB/NOCTI (Participants) Score,AP/IB/NOCTI (Participants) Denom,AP/IB/NOCTI (Non-Participants) Score,AP/IB/NOCTI (Non-Participants) Denom,ACT/SAT Score,ACT/SAT Denom,ACT/SAT Pts Earn,ACT/SAT Pts Poss,ACT/SAT Pct Earn,ACT/SAT Tier,ACT/SAT (Participants) Score,ACT/SAT (Participants) Denom,ACT/SAT (Non-Participants) Score,ACT/SAT (Non-Participants) Denom,FAFSA Score,FAFSA Denom,FAFSA Pts Earn,FAFSA Pts Poss,FAFSA Pct Earn,FAFSA Tier,Student Survey College & Career Score,Student Survey College & Career Pts Earn,Student Survey College & Career Pts Poss,Student Survey College & Career Pct Earn,Student Survey College & Career Tier,Teach Effect Distinguished Score,Teach Effect Instruction Score,Teacher Attendance Score,Student Survey Teaching Score
Furness High School,216,HS,High School,1900 S. 3rd St.,Philadelphia,PA,19148,215-952-6226,215-952-8635,District,N/A,685,www.philasd.org/schools/furness,'9-12',Neighborhood,1,Neighborhood Network 3,Neighborhood Network 3,,17,INTERVENE,56th out of 83,3rd out of 12,4,INTERVENE,50th out of 79,7th out of 12,27,WATCH,43rd out of 83,2nd out of 12,20,INTERVENE,64th out of 84,5th out of 12,10,INTERVENE,59th out of 77,3rd out of 11,8,427,0,8,0,INTERVENE,2,427,.13,1.5,8,INTERVENE,8,214,0,8,0,INTERVENE,1,214,.08,1.5,6,INTERVENE,11,216,0,8,0,INTERVENE,0,216,0,1.5,0,INTERVENE,25,308,1.03,1.5,69,REINFORCE,-3.38,0,6.5,0,INTERVENE,-5.37,0,6.5,0,INTERVENE,-9.62,0,6.5,0,INTERVENE,85,355,4.02,8,50,REINFORCE,75,63,4.15,6,69,REINFORCE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.51,1.26,1.5,84,MODEL,.79,.9,1.5,60,REINFORCE,-2.76,0,1.5,0,INTERVENE,26,804,.96,8,12,INTERVENE,20,804,12,804,9,804,34,804,77,658,1.14,6,19,INTERVENE,100,804,.5,.5,100,MODEL,81,804,.94,2.5,37,WATCH,55,.55,1,55,REINFORCE,0,0,1,0,INTERVENE,4,0,1,0,INTERVENE,67,191,0,4.5,0,INTERVENE,41,140,.43,1.5,29,WATCH,13,140,.07,1,7,INTERVENE,21,140,66,140,2,140,0,1,0,INTERVENE,64,140,34,140,36,140,.21,1,21,INTERVENE,25,.25,1,25,WATCH,0,6,70,53
Franklin Learning Center,229,HS,High School,616 N. 15th St.,Philadelphia,PA,19130,215-684-5916,215-684-8969,District,N/A,872,www.flc.phila.k12.pa.us,'9-12',Special Admit,4,Autonomy Network,Autonomy Network,,36,WATCH,31st out of 83,9th out of 19,21,INTERVENE,19th out of 79,8th out of 19,29,WATCH,39th out of 83,11th out of 19,63,REINFORCE,35th out of 84,10th out of 20,46,WATCH,28th out of 77,9th out of 18,16,454,0,8,0,INTERVENE,2,454,.13,1.5,9,INTERVENE,33,255,1.29,8,16,INTERVENE,7,255,.4,1.5,27,WATCH,57,174,3.75,8,47,WATCH,2,174,.1,1.5,7,INTERVENE,22,144,.72,1.5,48,WATCH,-10.3,0,6.5,0,INTERVENE,-2.49,0,6.5,0,INTERVENE,-.44,1.21,6.5,19,INTERVENE,94,610,6.47,8,81,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-6.24,0,1.5,0,INTERVENE,-.35,.33,1.5,22,INTERVENE,1.76,1.38,1.5,92,MODEL,41,912,3.33,8,42,WATCH,29,912,13,912,6,912,11,912,88,850,6,6,100,MODEL,100,912,.5,.5,100,MODEL,96,912,2.19,2.5,88,MODEL,63,.63,1,63,REINFORCE,0,0,1,0,INTERVENE,5,0,1,0,INTERVENE,88,191,2.33,4.5,52,REINFORCE,66,171,1.1,1.5,74,REINFORCE,22,170,.31,1,31,WATCH,28,170,49,170,9,170,0,1,0,INTERVENE,75,170,16,170,52,170,.54,1,54,REINFORCE,31,.31,1,31,WATCH,3,0,69,52
Girard Academic Music Program,241,HS,High School,2136 W. Ritner St.,Philadelphia,PA,19145,215-952-8589,215-952-6544,District,N/A,235,www.philasd.org/schools/gamp,'9-12',Special Admit,5,Autonomy Network,Autonomy Network,,62,REINFORCE,5th out of 83,4th out of 10,52,REINFORCE,6th out of 79,4th out of 10,49,WATCH,21st out of 83,7th out of 10,86,MODEL,7th out of 84,4th out of 10,83,MODEL,3rd out of 77,3rd out of 9,43,63,2.29,8,29,WATCH,11,63,.67,1.5,44,WATCH,63,80,4.25,8,53,REINFORCE,31,80,1.5,1.5,100,MODEL,77,64,5.66,8,71,REINFORCE,6,64,.38,1.5,25,WATCH,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-2,0,6.5,0,INTERVENE,2.94,6.5,6.5,100,MODEL,-.87,.28,6.5,4,INTERVENE,99,173,7.69,8,96,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-.43,.29,1.5,19,INTERVENE,1.13,1.07,1.5,71,REINFORCE,-1.85,0,1.5,0,INTERVENE,60,236,6.43,8,80,MODEL,26,236,10,236,2,236,2,236,96,235,6,6,100,MODEL,100,236,.5,.5,100,MODEL,100,236,2.5,2.5,100,MODEL,73,.73,1,73,REINFORCE,84,.84,1,84,MODEL,16,.15,1,15,INTERVENE,100,59,4.5,4.5,100,MODEL,88,59,1.5,1.5,100,MODEL,20,59,.26,1,26,WATCH,29,59,51,59,42,59,.81,1,81,MODEL,56,59,2,59,83,59,1,1,100,MODEL,26,.26,1,26,WATCH,42,69,70,64
Academy at Palumbo,262,HS,High School,1100 Catharine St.,Philadelphia,PA,19147,215-351-7618,215-351-7685,District,N/A,886,www.philasd.org/schools/palumbo,'9-12',Special Admit,4,Autonomy Network,Autonomy Network,,65,REINFORCE,4th out of 83,1st out of 19,55,REINFORCE,5th out of 79,2nd out of 19,53,REINFORCE,17th out of 83,3rd out of 19,93,MODEL,1st out of 84,1st out of 20,72,REINFORCE,6th out of 77,1st out of 18,60,344,4.02,8,50,REINFORCE,20,344,1.2,1.5,80,MODEL,47,378,2.66,8,33,WATCH,11,378,.67,1.5,44,WATCH,82,261,6.16,8,77,MODEL,3,261,.21,1.5,14,INTERVENE,94,31,1.5,1.5,100,MODEL,-.24,1.65,6.5,25,WATCH,-4.46,0,6.5,0,INTERVENE,1.91,6.31,6.5,97,MODEL,99,692,7.69,8,96,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-.97,.02,1.5,1,INTERVENE,-1.28,0,1.5,0,INTERVENE,1.9,1.45,1.5,97,MODEL,70,893,8,8,100,MODEL,19,893,5,893,3,893,2,893,97,871,6,6,100,MODEL,100,893,.5,.5,100,MODEL,99,893,2.43,2.5,97,MODEL,65,.65,1,65,REINFORCE,83,.83,1,83,MODEL,18,.19,1,19,INTERVENE,98,176,4.09,4.5,91,MODEL,75,174,1.37,1.5,91,MODEL,25,174,.38,1,38,WATCH,41,174,33,174,17,174,.18,1,18,INTERVENE,74,174,9,174,76,174,1,1,100,MODEL,22,.22,1,22,INTERVENE,29,70,84,55
Science Leadership Academy,265,HS,High School,55 N. 22nd St.,Philadelphia,PA,19103,215-979-5620,215-567-2809,District,N/A,493,www.scienceleadership.org,'9-12',Special Admit,5,Innovation Network,Innovation Network,,53,REINFORCE,18th out of 83,8th out of 10,50,REINFORCE,8th out of 79,6th out of 10,26,WATCH,45th out of 83,10th out of 10,87,MODEL,5th out of 84,3rd out of 10,80,MODEL,4th out of 77,4th out of 9,56,115,3.57,8,45,WATCH,24,115,1.46,1.5,97,MODEL,44,139,2.39,8,30,WATCH,14,139,.82,1.5,55,REINFORCE,75,122,5.46,8,68,REINFORCE,9,122,.54,1.5,36,WATCH,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-3.29,0,6.5,0,INTERVENE,-7.09,0,6.5,0,INTERVENE,-.98,.04,6.5,1,INTERVENE,100,360,7.93,8,99,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.28,0,1.5,0,INTERVENE,-1.73,0,1.5,0,INTERVENE,-.55,.23,1.5,15,INTERVENE,61,496,6.54,8,82,MODEL,26,496,7,496,2,496,3,496,98,483,6,6,100,MODEL,100,496,.5,.5,100,MODEL,99,496,2.45,2.5,98,MODEL,75,.75,1,75,MODEL,88,.88,1,88,MODEL,22,.3,1,30,WATCH,98,120,4.2,4.5,93,MODEL,88,118,1.5,1.5,100,MODEL,0,119,0,1,0,INTERVENE,1,119,99,119,50,119,1,1,100,MODEL,47,119,3,119,85,119,1,1,100,MODEL,29,.29,1,29,WATCH,60,64,72,64
Constitution High School,267,HS,High School,18 S. 7th St.,Philadelphia,PA,19106,215-351-7310,215-351-7694,District,N/A,383,www.philasd.org/schools/constitution,'9-12',Citywide,3,Neighborhood Network 3,Neighborhood Network 3,,29,WATCH,44th out of 83,15th out of 22,8,INTERVENE,36th out of 79,11th out of 19,20,INTERVENE,60th out of 83,19th out of 22,57,REINFORCE,38th out of 84,12th out of 21,66,REINFORCE,11th out of 77,2nd out of 20,18,219,0,8,0,INTERVENE,1,219,.05,1.5,4,INTERVENE,20,153,.03,8,0,INTERVENE,0,153,0,1.5,0,INTERVENE,42,125,2.24,8,28,WATCH,0,125,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-5.27,0,6.5,0,INTERVENE,-5.04,0,6.5,0,INTERVENE,-2.72,0,6.5,0,INTERVENE,92,277,5.79,8,72,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-1.07,0,1.5,0,INTERVENE,-1.4,0,1.5,0,INTERVENE,.01,.51,1.5,34,WATCH,31,384,1.76,8,22,INTERVENE,34,384,17,384,8,384,10,384,97,376,6,6,100,MODEL,100,384,.5,.5,100,MODEL,90,384,1.65,2.5,66,REINFORCE,66,.66,1,66,REINFORCE,81,.81,1,81,MODEL,10,.01,1,1,INTERVENE,98,83,4.07,4.5,90,MODEL,73,83,1.32,1.5,88,MODEL,7,82,0,1,0,INTERVENE,72,82,21,82,2,82,0,1,0,INTERVENE,95,82,2,82,76,82,1,1,100,MODEL,26,.26,1,26,WATCH,0,0,47,54
The Science Leadership Academy at Beeber,268,HS,High School,5925 Malvern Ave.,Philadelphia,PA,19131,215-581-2715,215-581-2109,District,N/A,361,slabeeber.org,'9-11',Special Admit,4,Innovation Network,Innovation Network,,53,REINFORCE,17th out of 83,4th out of 19,36,WATCH,12th out of 79,5th out of 19,52,REINFORCE,18th out of 83,4th out of 19,81,MODEL,13th out of 84,3rd out of 20,Insufficient Data,Insufficient Data,Insufficient Data,Insufficient Data,30,184,.99,8,12,INTERVENE,4,184,.23,1.5,15,INTERVENE,48,121,2.79,8,35,WATCH,7,121,.45,1.5,30,WATCH,75,126,5.54,8,69,REINFORCE,6,126,.38,1.5,25,WATCH,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-6.4,0,6.5,0,INTERVENE,-1.38,0,6.5,0,INTERVENE,3.9,6.5,6.5,100,MODEL,98,338,7.45,8,93,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-.51,.25,1.5,16,INTERVENE,.62,.81,1.5,54,REINFORCE,2.78,1.5,1.5,100,MODEL,56,376,5.82,8,73,REINFORCE,26,376,9,376,2,376,7,376,93,347,6,6,100,MODEL,100,376,.5,.5,100,MODEL,98,376,2.35,2.5,94,MODEL,62,.62,1,62,REINFORCE,84,.84,1,84,MODEL,10,0,1,0,INTERVENE,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,23,.23,1,23,INTERVENE,27,40,78,52
Overbrook High School,402,HS,High School,5898 Lancaster Ave.,Philadelphia,PA,19131,215-581-5507,215-581-3406,District,N/A,643,www.philasd.org/schools/overbrookhs,'9-12',Neighborhood,2,Neighborhood Network 2,Neighborhood Network 2,,9,INTERVENE,72nd out of 83,14th out of 20,0,INTERVENE,77th out of 79,18th out of 20,19,INTERVENE,62nd out of 83,12th out of 20,5,INTERVENE,82nd out of 84,19th out of 21,3,INTERVENE,72nd out of 77,15th out of 19,6,222,0,8,0,INTERVENE,0,222,.03,1.5,2,INTERVENE,0,128,0,8,0,INTERVENE,0,128,0,1.5,0,INTERVENE,11,82,0,8,0,INTERVENE,0,82,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-6.83,0,6.5,0,INTERVENE,-7.52,0,6.5,0,INTERVENE,-4.95,0,6.5,0,INTERVENE,78,237,2.04,8,25,WATCH,64,97,2.87,6,48,WATCH,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.19,1.1,1.5,73,REINFORCE,.68,.84,1.5,56,REINFORCE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,9,805,0,8,0,INTERVENE,13,805,14,805,10,805,54,805,65,617,0,6,0,INTERVENE,100,805,.5,.5,100,MODEL,61,805,0,2.5,0,INTERVENE,53,.53,1,53,REINFORCE,0,0,1,0,INTERVENE,8,0,1,0,INTERVENE,48,252,0,4.5,0,INTERVENE,24,135,0,1.5,0,INTERVENE,1,138,0,1,0,INTERVENE,10,138,89,138,1,138,0,1,0,INTERVENE,46,138,52,138,30,138,.09,1,9,INTERVENE,23,.23,1,23,INTERVENE,10,9,60,37
High School of Engineering and Science,403,HS,High School,1600 W. Norris St.,Philadelphia,PA,19121,215-684-5079,215-684-5151,District,N/A,760,www.carver.phila.k12.pa.us,'9-12',Special Admit,4,Autonomy Network,Autonomy Network,,61,REINFORCE,8th out of 83,2nd out of 19,58,REINFORCE,4th out of 79,1st out of 19,45,WATCH,23rd out of 83,6th out of 19,90,MODEL,4th out of 84,2nd out of 20,68,REINFORCE,10th out of 77,3rd out of 18,70,246,5.03,8,63,REINFORCE,27,246,1.5,1.5,100,MODEL,56,308,3.62,8,45,WATCH,16,308,.97,1.5,65,REINFORCE,72,188,5.18,8,65,REINFORCE,2,188,.1,1.5,6,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,2.63,6.5,6.5,100,MODEL,-3.12,0,6.5,0,INTERVENE,-4.19,0,6.5,0,INTERVENE,97,553,7.33,8,92,MODEL,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-.47,.27,1.5,18,INTERVENE,-1.36,0,1.5,0,INTERVENE,-.56,.22,1.5,15,INTERVENE,69,765,7.78,8,97,MODEL,19,765,7,765,2,765,3,765,96,751,6,6,100,MODEL,100,765,.5,.5,100,MODEL,96,765,2.16,2.5,87,MODEL,67,.67,1,67,REINFORCE,86,.86,1,86,MODEL,10,0,1,0,INTERVENE,96,180,3.8,4.5,84,MODEL,82,173,1.5,1.5,100,MODEL,13,175,.06,1,6,INTERVENE,49,175,38,175,20,175,.25,1,25,WATCH,76,175,4,175,71,175,.92,1,92,MODEL,29,.29,1,29,WATCH,69,77,86,51
Murrell Dobbins Career and Technical High School,406,HS,High School,2150 W. Lehigh Ave.,Philadelphia,PA,19132,215-227-4421,215-227-4944,District,N/A,598,www.philasd.org/schools/dobbins,'9-12',Citywide,2,Neighborhood Network 4,Neighborhood Network 4,,8,INTERVENE,73rd out of 83,15th out of 20,0,INTERVENE,70th out of 79,13th out of 20,6,INTERVENE,77th out of 83,19th out of 20,12,INTERVENE,70th out of 84,14th out of 21,29,WATCH,46th out of 77,9th out of 19,1,425,0,8,0,INTERVENE,0,425,0,1.5,0,INTERVENE,6,209,0,8,0,INTERVENE,1,209,.06,1.5,4,INTERVENE,10,199,0,8,0,INTERVENE,0,199,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-14.65,0,6.5,0,INTERVENE,-2.67,0,6.5,0,INTERVENE,-3.48,0,6.5,0,INTERVENE,Data Not Valid,Data Not Valid,Data Not Valid,Data Not Valid,Data Not Valid,Data Not Valid,Data Not Valid,Data Not Valid,Data Not Valid,Data Not Valid,Data Not Valid,Data Not Valid,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,-2.3,0,1.5,0,INTERVENE,2.61,1.5,1.5,100,MODEL,-.91,.05,1.5,3,INTERVENE,12,608,0,8,0,INTERVENE,22,608,20,608,13,608,33,608,77,588,1.33,6,22,INTERVENE,100,608,.5,.5,100,MODEL,67,608,0,2.5,0,INTERVENE,0,0,1,0,INTERVENE,65,.65,1,65,REINFORCE,10,0,1,0,INTERVENE,83,99,1.41,4.5,31,WATCH,33,82,.22,1.5,14,INTERVENE,49,83,.99,1,99,MODEL,35,83,16,83,0,83,0,1,0,INTERVENE,53,83,47,83,37,83,.25,1,25,WATCH,0,0,1,0,INTERVENE,0,5,72,0
Strawberry Mansion High School,414,HS,High School,3133 Ridge Ave.,Philadelphia,PA,19121,215-684-5089,215-684-5380,District,Promise Academy,392,www.philasd.org/schools/strawberry,'9-12',Neighborhood,2,Turnaround Network,Turnaround Network,,4,INTERVENE,83rd out of 83,20th out of 20,0,INTERVENE,78th out of 79,19th out of 20,8,INTERVENE,73rd out of 83,16th out of 20,3,INTERVENE,84th out of 84,21st out of 21,1,INTERVENE,76th out of 77,19th out of 19,4,226,0,8,0,INTERVENE,0,226,.03,1.5,2,INTERVENE,3,180,0,8,0,INTERVENE,0,180,0,1.5,0,INTERVENE,18,153,0,8,0,INTERVENE,0,153,0,1.5,0,INTERVENE,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,Insufficient Sample,-2.44,0,6.5,0,INTERVENE,-3.76,0,6.5,0,INTERVENE,-1.86,0,6.5,0,INTERVENE,70,151,.05,8,1,INTERVENE,44,59,.49,6,8,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,3.81,1.5,1.5,100,MODEL,1.32,1.16,1.5,77,MODEL,-1.82,0,1.5,0,INTERVENE,13,473,0,8,0,INTERVENE,12,473,9,473,11,473,55,473,63,379,0,6,0,INTERVENE,100,473,.5,.5,100,MODEL,49,473,0,2.5,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,0,0,1,0,INTERVENE,36,107,0,4.5,0,INTERVENE,16,55,0,1.5,0,INTERVENE,0,65,0,1,0,INTERVENE,0,65,100,65,0,65,0,1,0,INTERVENE,42,65,58,65,29,65,.08,1,8,INTERVENE,0,0,1,0,INTERVENE,12,0,77,0
Thomas A. Edison High School,502,HS,High School,151 W. Luzerne St.,Philadelphia,PA,19140,215-324-9599,215-329-5824,District,Promise Academy,1254,www.philasd.org/schools/edison,'9-12',Neighborhood,1,Turnaround Network,Turnaround Network,,8,INTERVENE,76th out of 83,10th out of 12,0,INTERVENE,72nd out of 79,12th out of 12,15,INTERVENE,68th out of 83,9th out of 12,7,INTERVENE,80th out of 84,11th out of 12,8,INTERVENE,62nd out of 77,5th out of 11,3,500,0,8,0,INTERVENE,0,500,.01,1.5,1,INTERVENE,5,304,0,8,0,INTERVENE,1,304,.04,1.5,3,INTERVENE,17,243,0,8,0,INTERVENE,0,243,0,1.5,0,INTERVENE,14,313,0,1.5,0,INTERVENE,-10.08,0,6.5,0,INTERVENE,-4.2,0,6.5,0,INTERVENE,-4.94,0,6.5,0,INTERVENE,80,541,2.68,8,33,WATCH,29,175,0,6,0,INTERVENE,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,1.99,1.5,1.5,100,MODEL,3.01,1.5,1.5,100,MODEL,-3.22,0,1.5,0,INTERVENE,12,1460,0,8,0,INTERVENE,13,1460,14,1460,12,1460,50,1460,66,1211,0,6,0,INTERVENE,100,1460,.5,.5,100,MODEL,74,1460,.34,2.5,13,INTERVENE,49,.49,1,49,WATCH,0,0,1,0,INTERVENE,8,0,1,0,INTERVENE,58,388,0,4.5,0,INTERVENE,19,241,0,1.5,0,INTERVENE,30,229,.5,1,50,REINFORCE,19,229,51,229,0,229,0,1,0,INTERVENE,28,229,72,229,23,229,0,1,0,INTERVENE,27,.27,1,27,WATCH,46,63,58,38
